week_title,week_year,week_month,week_day,rank_text,rank_number,move_positions,move_direction,player_age,ranking_points,tourneys_played,player_url,player_slug,name,country,player_id,profile_picture
2019.01.28,2019,1,28,153,153,10,up,33,360,23,/en/players/luca-vanni/v495/overview,luca-vanni,Luca Vanni,ITA,v495,www.atptour.com/-/media/tennis/players/head-shot/2018/vanni_luca_head_pp18.png
2019.01.28,2019,1,28,154,154,13,down,25,352,22,/en/players/dennis-novak/db59/overview,dennis-novak,Dennis Novak,AUT,db59,www.atptour.com/-/media/tennis/players/head-shot/2018/novak_head_ao18.png
2019.01.28,2019,1,28,155,155,4,up,24,352,25,/en/players/gregoire-barrere/bk24/overview,gregoire-barrere,Gregoire Barrere,FRA,bk24,www.atptour.com/-/media/tennis/players/head-shot/lq/active/barrere_gregoire_2015.png
2019.01.28,2019,1,28,156,156,20,up,23,350,27,/en/players/kamil-majchrzak/mq75/overview,kamil-majchrzak,Kamil Majchrzak,POL,mq75,www.atptour.com/-/media/tennis/players/head-shot/2018/majchrzak_kamil_head_pp18.png
2019.01.28,2019,1,28,157,157,13,up,22,347,24,/en/players/christopher-eubanks/e865/overview,christopher-eubanks,Christopher Eubanks,USA,e865,www.atptour.com/-/media/tennis/players/head-shot/2018/eubanks_chris_head_pp18.png
2019.01.28,2019,1,28,158,158,13,down,30,341,27,/en/players/yuichi-sugita/se73/overview,yuichi-sugita,Yuichi Sugita,JPN,se73,www.atptour.com/-/media/tennis/players/head-shot/2018/sugita_head_ao18.png
2019.01.28,2019,1,28,159,159,6,down,27,341,17,/en/players/yannick-hanfmann/h997/overview,yannick-hanfmann,Yannick Hanfmann,GER,h997,www.atptour.com/-/media/tennis/players/head-shot/2018/hanfmann_head_ao18.png
2019.01.28,2019,1,28,160,160,,,24,341,29,/en/players/dominik-koepfer/ke73/overview,dominik-koepfer,Dominik Koepfer,GER,ke73,www.atptour.com/-/media/tennis/players/head-shot/lq/active/koepfer_dominik_2017.png
2019.01.28,2019,1,28,161,161,3,down,26,340,18,/en/players/egor-gerasimov/gc89/overview,egor-gerasimov,Egor Gerasimov,BLR,gc89,www.atptour.com/-/media/tennis/players/head-shot/lq/active/gerasimov-e_lq15.png
2019.01.28,2019,1,28,162,162,3,up,21,337,29,/en/players/pedro-martinez/mo44/overview,pedro-martinez,Pedro Martinez,ESP,mo44,www.atptour.com/-/media/tennis/players/head-shot/lq/active/martinez-portero_pedro_2017.png
