week_title,week_year,week_month,week_day,rank_text,rank_number,move_positions,move_direction,player_age,ranking_points,tourneys_played,player_url,player_slug,name,country,player_id,profile_picture
2019.07.01,2019,7,1,1,1,,,32,12415,16,/en/players/novak-djokovic/d643/overview,novak-djokovic,Novak Djokovic,SRB,d643,www.atptour.com/-/media/tennis/players/head-shot/2019/djokovic_head_ao19.png
2019.07.01,2019,7,1,2,2,,,33,7945,16,/en/players/rafael-nadal/n409/overview,rafael-nadal,Rafael Nadal,ESP,n409,www.atptour.com/-/media/tennis/players/head-shot/2019/nadal_head_ao19.png
2019.07.01,2019,7,1,3,3,,,37,6620,16,/en/players/roger-federer/f324/overview,roger-federer,Roger Federer,SUI,f324,www.atptour.com/-/media/tennis/players/head-shot/2019/federer_head_ao19.png
2019.07.01,2019,7,1,4,4,,,25,4595,23,/en/players/dominic-thiem/tb69/overview,dominic-thiem,Dominic Thiem,AUT,tb69,www.atptour.com/-/media/tennis/players/head-shot/2019/thiem_head_ao19.png
2019.07.01,2019,7,1,5,5,,,22,4405,24,/en/players/alexander-zverev/z355/overview,alexander-zverev,Alexander Zverev,GER,z355,www.atptour.com/-/media/tennis/players/head-shot/2019/zverev_head_ao19.png
2019.07.01,2019,7,1,6,6,,,20,4215,28,/en/players/stefanos-tsitsipas/te51/overview,stefanos-tsitsipas,Stefanos Tsitsipas,GRE,te51,www.atptour.com/-/media/tennis/players/head-shot/2018/tsitispas_head_ao18.png
2019.07.01,2019,7,1,7,7,,,29,4040,22,/en/players/kei-nishikori/n552/overview,kei-nishikori,Kei Nishikori,JPN,n552,www.atptour.com/-/media/tennis/players/head-shot/2019/nishikori_head_ao19.png
2019.07.01,2019,7,1,8,8,,,33,3610,16,/en/players/kevin-anderson/a678/overview,kevin-anderson,Kevin Anderson,RSA,a678,www.atptour.com/-/media/tennis/players/head-shot/2019/anderson_head_ao19.png
2019.07.01,2019,7,1,9,9,,,23,2980,26,/en/players/karen-khachanov/ke29/overview,karen-khachanov,Karen Khachanov,RUS,ke29,www.atptour.com/-/media/tennis/players/head-shot/2019/khachanov_head_ao19.png
2019.07.01,2019,7,1,10,10,,,32,2785,24,/en/players/fabio-fognini/f510/overview,fabio-fognini,Fabio Fognini,ITA,f510,www.atptour.com/-/media/tennis/players/head-shot/2019/fognini_head_ao19.png
2019.07.01,2019,7,1,11,11,,,30,2740,15,/en/players/juan-martin-del-potro/d683/overview,juan-martin-del-potro,Juan Martin del Potro,ARG,d683,www.atptour.com/-/media/tennis/players/head-shot/2019/delpotro_head_rome19.png
2019.07.01,2019,7,1,12,12,,,34,2715,19,/en/players/john-isner/i186/overview,john-isner,John Isner,USA,i186,www.atptour.com/-/media/tennis/players/head-shot/2019/isner_head_ao19.png
2019.07.01,2019,7,1,13,13,,,23,2625,26,/en/players/daniil-medvedev/mm58/overview,daniil-medvedev,Daniil Medvedev,RUS,mm58,www.atptour.com/-/media/tennis/players/head-shot/2019/medvedev_head_ao19.png
2019.07.01,2019,7,1,14,14,,,22,2205,22,/en/players/borna-coric/cg80/overview,borna-coric,Borna Coric,CRO,cg80,www.atptour.com/-/media/tennis/players/head-shot/2019/coric_head_ao19.png
2019.07.01,2019,7,1,15,15,,,32,1985,21,/en/players/gael-monfils/mc65/overview,gael-monfils,Gael Monfils,FRA,mc65,www.atptour.com/-/media/tennis/players/head-shot/2019/monfils_head_ao19.png
