week_title,week_year,week_month,week_day,rank_text,rank_number,move_positions,move_direction,player_age,ranking_points,tourneys_played,player_url,player_slug,name,country,player_id
2019.06.24,2019,6,24,102,102,3,down,30,543,22,/en/players/thomas-fabbiano/f586/overview,thomas-fabbiano,Thomas Fabbiano,ITA,f586
2019.06.24,2019,6,24,103,103,8,up,23,539,25,/en/players/antoine-hoang/ha71/overview,antoine-hoang,Antoine Hoang,FRA,ha71
2019.06.24,2019,6,24,104,104,13,up,25,536,21,/en/players/dennis-novak/db59/overview,dennis-novak,Dennis Novak,AUT,db59
2019.06.24,2019,6,24,105,105,5,up,33,536,26,/en/players/marcel-granollers/g710/overview,marcel-granollers,Marcel Granollers,ESP,g710
2019.06.24,2019,6,24,106,106,16,up,31,536,29,/en/players/pedro-sousa/s483/overview,pedro-sousa,Pedro Sousa,POR,s483
2019.06.24,2019,6,24,107,107,11,down,37,531,34,/en/players/paolo-lorenzi/l503/overview,paolo-lorenzi,Paolo Lorenzi,ITA,l503
2019.06.24,2019,6,24,108,108,2,down,25,530,25,/en/players/jiri-vesely/v708/overview,jiri-vesely,Jiri Vesely,CZE,v708
2019.06.24,2019,6,24,109,109,4,down,32,525,26,/en/players/denis-istomin/i165/overview,denis-istomin,Denis Istomin,UZB,i165
2019.06.24,2019,6,24,110,110,3,down,26,524,28,/en/players/taro-daniel/da81/overview,taro-daniel,Taro Daniel,JPN,da81
2019.06.24,2019,6,24,111,111,3,up,23,523,26,/en/players/kamil-majchrzak/mq75/overview,kamil-majchrzak,Kamil Majchrzak,POL,mq75
2019.06.24,2019,6,24,112,112,4,down,33,520,12,/en/players/tomas-berdych/ba47/overview,tomas-berdych,Tomas Berdych,CZE,ba47
2019.06.24,2019,6,24,113,113,34,down,26,520,27,/en/players/denis-kudla/kb09/overview,denis-kudla,Denis Kudla,USA,kb09
2019.06.24,2019,6,24,114,114,5,down,23,520,27,/en/players/brayden-schnur/sp24/overview,brayden-schnur,Brayden Schnur,CAN,sp24
2019.06.24,2019,6,24,115,115,11,down,25,515,31,/en/players/thiago-monteiro/mj08/overview,thiago-monteiro,Thiago Monteiro,BRA,mj08
2019.06.24,2019,6,24,116,116,4,down,27,512,29,/en/players/guido-andreozzi/a887/overview,guido-andreozzi,Guido Andreozzi,ARG,a887
2019.06.24,2019,6,24,117,117,2,down,25,488,26,/en/players/gregoire-barrere/bk24/overview,gregoire-barrere,Gregoire Barrere,FRA,bk24
2019.06.24,2019,6,24,118,118,2,down,30,485,27,/en/players/jason-jung/j380/overview,jason-jung,Jason Jung,TPE,j380
2019.06.24,2019,6,24,119,119,,,31,480,23,/en/players/mischa-zverev/z168/overview,mischa-zverev,Mischa Zverev,GER,z168
2019.06.24,2019,6,24,120,120,,,23,466,26,/en/players/elias-ymer/y218/overview,elias-ymer,Elias Ymer,SWE,y218
2019.06.24,2019,6,24,121,121,3,down,32,466,22,/en/players/matthias-bachinger/bc65/overview,matthias-bachinger,Matthias Bachinger,GER,bc65
2019.06.24,2019,6,24,122,122,4,up,29,466,24,/en/players/andrej-martin/mf35/overview,andrej-martin,Andrej Martin,SVK,mf35
2019.06.24,2019,6,24,123,123,2,down,29,465,26,/en/players/peter-gojowczyk/g967/overview,peter-gojowczyk,Peter Gojowczyk,GER,g967
2019.06.24,2019,6,24,124,124,1,up,20,460,18,/en/players/mikael-ymer/y268/overview,mikael-ymer,Mikael Ymer,SWE,y268
2019.06.24,2019,6,24,125,125,1,down,26,458,27,/en/players/salvatore-caruso/ce25/overview,salvatore-caruso,Salvatore Caruso,ITA,ce25
2019.06.24,2019,6,24,126,126,5,up,21,447,18,/en/players/soonwoo-kwon/kf17/overview,soonwoo-kwon,Soonwoo Kwon,KOR,kf17
2019.06.24,2019,6,24,127,127,,,22,446,30,/en/players/pedro-martinez/mo44/overview,pedro-martinez,Pedro Martinez,ESP,mo44
2019.06.24,2019,6,24,128,128,,,27,445,17,/en/players/ryan-harrison/h940/overview,ryan-harrison,Ryan Harrison,USA,h940
2019.06.24,2019,6,24,129,129,1,up,29,442,26,/en/players/evgeny-donskoy/d864/overview,evgeny-donskoy,Evgeny Donskoy,RUS,d864
2019.06.24,2019,6,24,130,130,7,up,33,441,29,/en/players/lukas-rosol/r685/overview,lukas-rosol,Lukas Rosol,CZE,r685
2019.06.24,2019,6,24,131,131,2,down,24,440,28,/en/players/gianluca-mager/ml57/overview,gianluca-mager,Gianluca Mager,ITA,ml57
2019.06.24,2019,6,24,132,132,35,up,25,437,30,/en/players/dominik-koepfer/ke73/overview,dominik-koepfer,Dominik Koepfer,GER,ke73
2019.06.24,2019,6,24,133,133,,,20,432,26,/en/players/alejandro-davidovich-fokina/dh50/overview,alejandro-davidovich-fokina,Alejandro Davidovich Fokina,ESP,dh50
2019.06.24,2019,6,24,134,134,7,up,27,431,30,/en/players/lorenzo-giustino/ga79/overview,lorenzo-giustino,Lorenzo Giustino,ITA,ga79
2019.06.24,2019,6,24,135,135,,,25,428,24,/en/players/bjorn-fratangelo/f811/overview,bjorn-fratangelo,Bjorn Fratangelo,USA,f811
2019.06.24,2019,6,24,136,136,2,up,22,426,25,/en/players/tommy-paul/pl56/overview,tommy-paul,Tommy Paul,USA,pl56
2019.06.24,2019,6,24,137,137,3,down,37,425,14,/en/players/david-ferrer/f401/overview,david-ferrer,David Ferrer,ESP,f401
2019.06.24,2019,6,24,138,138,1,up,34,420,21,/en/players/marcos-baghdatis/b837/overview,marcos-baghdatis,Marcos Baghdatis,CYP,b837
2019.06.24,2019,6,24,139,139,16,down,33,416,31,/en/players/sergiy-stakhovsky/sc77/overview,sergiy-stakhovsky,Sergiy Stakhovsky,UKR,sc77
2019.06.24,2019,6,24,140,140,4,up,25,404,15,/en/players/ilya-ivashka/i305/overview,ilya-ivashka,Ilya Ivashka,BLR,i305
2019.06.24,2019,6,24,141,141,1,down,31,402,30,/en/players/peter-polansky/pb22/overview,peter-polansky,Peter Polansky,CAN,pb22
2019.06.24,2019,6,24,142,142,,,23,398,27,/en/players/sebastian-ofner/o513/overview,sebastian-ofner,Sebastian Ofner,AUT,o513
2019.06.24,2019,6,24,143,143,4,up,26,397,20,/en/players/alex-bolt/bi81/overview,alex-bolt,Alex Bolt,AUS,bi81
2019.06.24,2019,6,24,144,144,1,down,31,391,24,/en/players/lukas-lacko/l797/overview,lukas-lacko,Lukas Lacko,SVK,l797
2019.06.24,2019,6,24,145,145,46,up,37,382,14,/en/players/nicolas-mahut/m873/overview,nicolas-mahut,Nicolas Mahut,FRA,m873
2019.06.24,2019,6,24,146,146,19,up,25,382,27,/en/players/kimmer-coppejans/cg33/overview,kimmer-coppejans,Kimmer Coppejans,BEL,cg33
2019.06.24,2019,6,24,147,147,4,up,27,379,26,/en/players/james-duckworth/d994/overview,james-duckworth,James Duckworth,AUS,d994
2019.06.24,2019,6,24,148,148,2,up,33,379,27,/en/players/adrian-menendez-maceiras/mb53/overview,adrian-menendez-maceiras,Adrian Menendez-Maceiras,ESP,mb53
2019.06.24,2019,6,24,149,149,3,up,18,370,26,/en/players/rudolf-molleker/m0ac/overview,rudolf-molleker,Rudolf Molleker,GER,m0ac
2019.06.24,2019,6,24,150,150,3,up,34,370,25,/en/players/dustin-brown/ba65/overview,dustin-brown,Dustin Brown,GER,ba65
2019.06.24,2019,6,24,151,151,2,down,23,370,27,/en/players/filippo-baldi/bm03/overview,filippo-baldi,Filippo Baldi,ITA,bm03
2019.06.24,2019,6,24,152,152,2,up,36,369,29,/en/players/guillermo-garcia-lopez/g476/overview,guillermo-garcia-lopez,Guillermo Garcia-Lopez,ESP,g476
2019.06.24,2019,6,24,153,153,21,down,25,369,33,/en/players/oscar-otte/o449/overview,oscar-otte,Oscar Otte,GER,o449
