week_title,week_year,week_month,week_day,rank_text,rank_number,move_positions,move_direction,player_age,ranking_points,tourneys_played,player_url,player_slug,name,country,player_id
2019.01.07,2019,1,7,1,1,,,31,9135,18,/en/players/novak-djokovic/d643/overview,novak-djokovic,Novak Djokovic,SRB,d643
2019.01.07,2019,1,7,2,2,,,32,7480,13,/en/players/rafael-nadal/n409/overview,rafael-nadal,Rafael Nadal,ESP,n409
2019.01.07,2019,1,7,3,3,,,37,6420,17,/en/players/roger-federer/f324/overview,roger-federer,Roger Federer,SUI,f324
2019.01.07,2019,1,7,4,4,,,21,6385,21,/en/players/alexander-zverev/z355/overview,alexander-zverev,Alexander Zverev,GER,z355
2019.01.07,2019,1,7,5,5,,,30,5300,18,/en/players/juan-martin-del-potro/d683/overview,juan-martin-del-potro,Juan Martin del Potro,ARG,d683
2019.01.07,2019,1,7,6,6,,,32,4810,20,/en/players/kevin-anderson/a678/overview,kevin-anderson,Kevin Anderson,RSA,a678
2019.01.07,2019,1,7,7,7,,,30,4160,18,/en/players/marin-cilic/c977/overview,marin-cilic,Marin Cilic,CRO,c977
2019.01.07,2019,1,7,8,8,,,25,4095,25,/en/players/dominic-thiem/tb69/overview,dominic-thiem,Dominic Thiem,AUT,tb69
2019.01.07,2019,1,7,9,9,,,29,3750,25,/en/players/kei-nishikori/n552/overview,kei-nishikori,Kei Nishikori,JPN,n552
2019.01.07,2019,1,7,10,10,,,33,3155,23,/en/players/john-isner/i186/overview,john-isner,John Isner,USA,i186
2019.01.07,2019,1,7,11,11,,,22,2835,26,/en/players/karen-khachanov/ke29/overview,karen-khachanov,Karen Khachanov,RUS,ke29
2019.01.07,2019,1,7,12,12,,,22,2435,19,/en/players/borna-coric/cg80/overview,borna-coric,Borna Coric,CRO,cg80
2019.01.07,2019,1,7,13,13,,,31,2315,25,/en/players/fabio-fognini/f510/overview,fabio-fognini,Fabio Fognini,ITA,f510
2019.01.07,2019,1,7,14,14,,,23,2150,23,/en/players/kyle-edmund/e831/overview,kyle-edmund,Kyle Edmund,GBR,e831
2019.01.07,2019,1,7,15,15,,,20,2095,29,/en/players/stefanos-tsitsipas/te51/overview,stefanos-tsitsipas,Stefanos Tsitsipas,GRE,te51
2019.01.07,2019,1,7,16,16,,,22,2037,27,/en/players/daniil-medvedev/mm58/overview,daniil-medvedev,Daniil Medvedev,RUS,mm58
2019.01.07,2019,1,7,17,17,1,up,28,1900,20,/en/players/milos-raonic/r975/overview,milos-raonic,Milos Raonic,CAN,r975
2019.01.07,2019,1,7,18,18,2,up,26,1889,30,/en/players/marco-cecchinato/cf01/overview,marco-cecchinato,Marco Cecchinato,ITA,cf01
2019.01.07,2019,1,7,19,19,2,down,26,1880,25,/en/players/diego-schwartzman/sm37/overview,diego-schwartzman,Diego Schwartzman,ARG,sm37
2019.01.07,2019,1,7,20,20,1,up,26,1820,29,/en/players/nikoloz-basilashvili/bg23/overview,nikoloz-basilashvili,Nikoloz Basilashvili,GEO,bg23
2019.01.07,2019,1,7,21,21,2,down,27,1790,20,/en/players/grigor-dimitrov/d875/overview,grigor-dimitrov,Grigor Dimitrov,BUL,d875
2019.01.07,2019,1,7,22,22,,,28,1785,21,/en/players/david-goffin/gb88/overview,david-goffin,David Goffin,BEL,gb88
2019.01.07,2019,1,7,23,23,1,up,30,1765,24,/en/players/roberto-bautista-agut/bd06/overview,roberto-bautista-agut,Roberto Bautista Agut,ESP,bd06
2019.01.07,2019,1,7,24,24,1,down,27,1705,21,/en/players/pablo-carreno-busta/cd85/overview,pablo-carreno-busta,Pablo Carreno Busta,ESP,cd85
2019.01.07,2019,1,7,25,25,,,22,1585,23,/en/players/hyeon-chung/ch27/overview,hyeon-chung,Hyeon Chung,KOR,ch27
2019.01.07,2019,1,7,26,26,,,32,1535,24,/en/players/richard-gasquet/g628/overview,richard-gasquet,Richard Gasquet,FRA,g628
2019.01.07,2019,1,7,27,27,,,19,1440,26,/en/players/denis-shapovalov/su55/overview,denis-shapovalov,Denis Shapovalov,CAN,su55
2019.01.07,2019,1,7,28,28,,,35,1410,28,/en/players/fernando-verdasco/v306/overview,fernando-verdasco,Fernando Verdasco,ESP,v306
2019.01.07,2019,1,7,29,29,2,up,19,1253,26,/en/players/alex-de-minaur/dh58/overview,alex-de-minaur,Alex de Minaur,AUS,dh58
2019.01.07,2019,1,7,30,30,2,up,24,1245,23,/en/players/lucas-pouille/pf39/overview,lucas-pouille,Lucas Pouille,FRA,pf39
