week_title,week_year,week_month,week_day,rank_text,rank_number,move_positions,move_direction,player_age,ranking_points,tourneys_played,player_url,player_slug,name,country,player_id
2019.06.17,2019,6,17,1,1,,,32,12715,17,/en/players/novak-djokovic/d643/overview,novak-djokovic,Novak Djokovic,SRB,d643
2019.06.17,2019,6,17,2,2,,,33,7945,16,/en/players/rafael-nadal/n409/overview,rafael-nadal,Rafael Nadal,ESP,n409
2019.06.17,2019,6,17,3,3,,,37,6420,16,/en/players/roger-federer/f324/overview,roger-federer,Roger Federer,SUI,f324
2019.06.17,2019,6,17,4,4,,,25,4685,23,/en/players/dominic-thiem/tb69/overview,dominic-thiem,Dominic Thiem,AUT,tb69
2019.06.17,2019,6,17,5,5,,,22,4360,24,/en/players/alexander-zverev/z355/overview,alexander-zverev,Alexander Zverev,GER,z355
2019.06.17,2019,6,17,6,6,,,20,4215,28,/en/players/stefanos-tsitsipas/te51/overview,stefanos-tsitsipas,Stefanos Tsitsipas,GRE,te51
2019.06.17,2019,6,17,7,7,,,29,4040,23,/en/players/kei-nishikori/n552/overview,kei-nishikori,Kei Nishikori,JPN,n552
2019.06.17,2019,6,17,8,8,,,33,3565,16,/en/players/kevin-anderson/a678/overview,kevin-anderson,Kevin Anderson,RSA,a678
2019.06.17,2019,6,17,9,9,,,23,2980,26,/en/players/karen-khachanov/ke29/overview,karen-khachanov,Karen Khachanov,RUS,ke29
2019.06.17,2019,6,17,10,10,,,32,2785,24,/en/players/fabio-fognini/f510/overview,fabio-fognini,Fabio Fognini,ITA,f510
2019.06.17,2019,6,17,11,11,,,34,2715,19,/en/players/john-isner/i186/overview,john-isner,John Isner,USA,i186
2019.06.17,2019,6,17,12,12,,,30,2695,14,/en/players/juan-martin-del-potro/d683/overview,juan-martin-del-potro,Juan Martin del Potro,ARG,d683
2019.06.17,2019,6,17,13,13,,,23,2625,27,/en/players/daniil-medvedev/mm58/overview,daniil-medvedev,Daniil Medvedev,RUS,mm58
2019.06.17,2019,6,17,14,14,,,22,2615,22,/en/players/borna-coric/cg80/overview,borna-coric,Borna Coric,CRO,cg80
2019.06.17,2019,6,17,15,15,,,30,2395,19,/en/players/marin-cilic/c977/overview,marin-cilic,Marin Cilic,CRO,c977
2019.06.17,2019,6,17,16,16,,,32,2055,21,/en/players/gael-monfils/mc65/overview,gael-monfils,Gael Monfils,FRA,mc65
2019.06.17,2019,6,17,17,17,,,27,1970,28,/en/players/nikoloz-basilashvili/bg23/overview,nikoloz-basilashvili,Nikoloz Basilashvili,GEO,bg23
2019.06.17,2019,6,17,18,18,,,28,1900,20,/en/players/milos-raonic/r975/overview,milos-raonic,Milos Raonic,CAN,r975
2019.06.17,2019,6,17,19,19,,,34,1715,22,/en/players/stan-wawrinka/w367/overview,stan-wawrinka,Stan Wawrinka,SUI,w367
2019.06.17,2019,6,17,20,20,,,31,1690,23,/en/players/roberto-bautista-agut/bd06/overview,roberto-bautista-agut,Roberto Bautista Agut,ESP,bd06
2019.06.17,2019,6,17,21,21,,,18,1522,29,/en/players/felix-auger-aliassime/ag37/overview,felix-auger-aliassime,Felix Auger-Aliassime,CAN,ag37
2019.06.17,2019,6,17,22,22,8,up,23,1505,28,/en/players/matteo-berrettini/bk40/overview,matteo-berrettini,Matteo Berrettini,ITA,bk40
2019.06.17,2019,6,17,23,23,,,26,1440,26,/en/players/diego-schwartzman/sm37/overview,diego-schwartzman,Diego Schwartzman,ARG,sm37
2019.06.17,2019,6,17,24,24,2,down,29,1430,25,/en/players/guido-pella/pc11/overview,guido-pella,Guido Pella,ARG,pc11
2019.06.17,2019,6,17,25,25,,,20,1390,28,/en/players/denis-shapovalov/su55/overview,denis-shapovalov,Denis Shapovalov,CAN,su55
2019.06.17,2019,6,17,26,26,2,down,20,1330,23,/en/players/alex-de-minaur/dh58/overview,alex-de-minaur,Alex de Minaur,AUS,dh58
2019.06.17,2019,6,17,27,27,,,24,1329,24,/en/players/laslo-djere/db63/overview,laslo-djere,Laslo Djere,SRB,db63
2019.06.17,2019,6,17,28,28,,,30,1303,33,/en/players/benoit-paire/pd31/overview,benoit-paire,Benoit Paire,FRA,pd31
2019.06.17,2019,6,17,29,29,3,down,25,1295,22,/en/players/lucas-pouille/pf39/overview,lucas-pouille,Lucas Pouille,FRA,pf39
2019.06.17,2019,6,17,30,30,1,down,24,1280,24,/en/players/kyle-edmund/e831/overview,kyle-edmund,Kyle Edmund,GBR,e831
2019.06.17,2019,6,17,31,31,,,28,1271,25,/en/players/dusan-lajovic/l987/overview,dusan-lajovic,Dusan Lajovic,SRB,l987
2019.06.17,2019,6,17,32,32,,,23,1268,22,/en/players/cristian-garin/gd64/overview,cristian-garin,Cristian Garin,CHI,gd64
2019.06.17,2019,6,17,33,33,,,28,1255,25,/en/players/david-goffin/gb88/overview,david-goffin,David Goffin,BEL,gb88
2019.06.17,2019,6,17,34,34,10,up,30,1241,32,/en/players/adrian-mannarino/me82/overview,adrian-mannarino,Adrian Mannarino,FRA,me82
2019.06.17,2019,6,17,35,35,3,up,29,1240,25,/en/players/jan-lennard-struff/sl28/overview,jan-lennard-struff,Jan-Lennard Struff,GER,sl28
2019.06.17,2019,6,17,36,36,1,down,21,1230,25,/en/players/frances-tiafoe/td51/overview,frances-tiafoe,Frances Tiafoe,USA,td51
2019.06.17,2019,6,17,37,37,3,down,35,1210,27,/en/players/fernando-verdasco/v306/overview,fernando-verdasco,Fernando Verdasco,ESP,v306
2019.06.17,2019,6,17,38,38,1,down,34,1190,27,/en/players/gilles-simon/sd32/overview,gilles-simon,Gilles Simon,FRA,sd32
2019.06.17,2019,6,17,39,39,3,down,24,1180,22,/en/players/nick-kyrgios/ke17/overview,nick-kyrgios,Nick Kyrgios,AUS,ke17
2019.06.17,2019,6,17,40,40,1,down,26,1130,27,/en/players/marco-cecchinato/cf01/overview,marco-cecchinato,Marco Cecchinato,ITA,cf01
2019.06.17,2019,6,17,41,41,1,down,29,1101,28,/en/players/radu-albot/a829/overview,radu-albot,Radu Albot,MDA,a829
2019.06.17,2019,6,17,42,42,1,down,21,1090,28,/en/players/taylor-fritz/fb98/overview,taylor-fritz,Taylor Fritz,USA,fb98
2019.06.17,2019,6,17,43,43,2,up,28,1008,27,/en/players/pierre-hugues-herbert/h996/overview,pierre-hugues-herbert,Pierre-Hugues Herbert,FRA,h996
2019.06.17,2019,6,17,44,44,1,down,33,1003,24,/en/players/pablo-cuevas/c882/overview,pablo-cuevas,Pablo Cuevas,URU,c882
2019.06.17,2019,6,17,45,45,1,up,28,997,19,/en/players/grigor-dimitrov/d875/overview,grigor-dimitrov,Grigor Dimitrov,BUL,d875
2019.06.17,2019,6,17,46,46,16,up,25,967,29,/en/players/jordan-thompson/tc61/overview,jordan-thompson,Jordan Thompson,AUS,tc61
2019.06.17,2019,6,17,47,47,,,31,955,24,/en/players/mikhail-kukushkin/k926/overview,mikhail-kukushkin,Mikhail Kukushkin,KAZ,k926
2019.06.17,2019,6,17,48,48,,,32,940,25,/en/players/leonardo-mayer/md56/overview,leonardo-mayer,Leonardo Mayer,ARG,md56
2019.06.17,2019,6,17,49,49,1,up,23,940,24,/en/players/cameron-norrie/n771/overview,cameron-norrie,Cameron Norrie,GBR,n771
2019.06.17,2019,6,17,50,50,1,up,35,930,25,/en/players/philipp-kohlschreiber/k435/overview,philipp-kohlschreiber,Philipp Kohlschreiber,GER,k435
2019.06.17,2019,6,17,51,51,1,up,27,930,29,/en/players/marton-fucsovics/f724/overview,marton-fucsovics,Marton Fucsovics,HUN,f724
2019.06.17,2019,6,17,52,52,1,up,27,928,21,/en/players/filip-krajinovic/kb05/overview,filip-krajinovic,Filip Krajinovic,SRB,kb05
2019.06.17,2019,6,17,53,53,1,up,22,923,25,/en/players/hubert-hurkacz/hb71/overview,hubert-hurkacz,Hubert Hurkacz,POL,hb71
2019.06.17,2019,6,17,54,54,12,down,32,920,18,/en/players/richard-gasquet/g628/overview,richard-gasquet,Richard Gasquet,FRA,g628
